Title,Genre,Revenue (Millions),Rating
Guardians of the Galaxy,Action,333.13,8.1
Prometheus,Adventure,126.46,7.0
Split,Horror,138.12,7.3
Sing,Animation,270.32,7.2
Suicide Squad,Action,325.02,6.2
The Great Wall,Action,45.13,6.1
La La Land,Comedy,151.06,8.3
Mindhorn,Comedy,,6.4
The Lost City of Z,Action,8.01,7.1
Passengers,Adventure,100.01,7.0
Fantastic Beasts and Where to Find Them,Adventure,234.02,7.5
Hidden Figures,Other,169.27,7.8
Rogue One,Action,532.17,7.9
Moana,Animation,248.75,7.7
Colossal,Action,2.87,6.4
The Secret Life of Pets,Animation,368.31,6.6
Hacksaw Ridge,Other,67.12,8.2
Jason Bourne,Action,162.16,6.7
Lion,Other,51.69,8.1
Gold,Adventure,7.22,6.7
Hounds of Love,Crime,,6.7
Trolls,Animation,153.69,6.5
Independence Day: Resurgence,Action,103.14,5.3
Paris pieds nus,Comedy,,6.8
Bahubali: The Beginning,Action,6.5,8.3
Dead Awake,Horror,0.01,4.7
Bad Moms,Comedy,113.08,6.2
Assassin's Creed,Action,54.65,5.9
Why Him?,Comedy,60.31,6.3
X-Men: Apocalypse,Action,155.33,7.1
Deadpool,Action,363.02,8.0
Resident Evil: The Final Chapter,Action,26.84,5.6
Captain America: Civil War,Action,408.08,7.9
Interstellar,Adventure,187.99,8.6
Doctor Strange,Action,232.6,7.6
The Magnificent Seven,Action,93.38,6.9
5- 25- 77,Comedy,,7.1
Sausage Party,Animation,97.66,6.3
Moonlight,Other,27.85,7.5
Don't Fuck in the Woods,Horror,,2.7
The Founder,Other,12.79,7.2
Lowriders,Other,4.21,6.3
Pirates of the Caribbean: On Stranger Tides,Action,241.06,6.7
Miss Sloane,Other,3.44,7.3
Fallen,Adventure,,5.6
Star Trek Beyond,Action,158.8,7.1
The Last Face,Other,,3.7
Star Wars: Episode VII - The Force Awakens,Action,936.63,8.1
Underworld: Blood Wars,Action,30.35,5.8
Mother's Day,Comedy,32.46,5.6
John Wick,Action,43.0,7.2
The Dark Knight,Action,533.32,9.0
Silence,Adventure,7.08,7.3
Don't Breathe,Crime,89.21,7.2
Me Before You,Other,56.23,7.4
Their Finest,Comedy,3.18,7.0
Sully,Other,125.07,7.5
Batman v Superman: Dawn of Justice,Action,330.25,6.7
The Autopsy of Jane Doe,Horror,,6.8
The Girl on the Train,Crime,75.31,6.5
Fifty Shades of Grey,Other,166.15,4.1
The Prestige,Other,53.08,8.5
Kingsman: The Secret Service,Action,128.25,7.7
Patriots Day,Other,31.86,7.4
Mad Max: Fury Road,Action,153.63,8.1
Wakefield,Other,0.01,7.5
Deepwater Horizon,Action,61.28,7.2
The Promise,Other,,5.9
Allied,Action,40.07,7.1
A Monster Calls,Other,3.73,7.5
Collateral Beauty,Other,30.98,6.8
Zootopia,Animation,341.26,8.1
Pirates of the Caribbean: At World's End,Action,309.4,7.1
The Avengers,Action,623.28,8.1
Inglourious Basterds,Adventure,120.52,8.3
Pirates of the Caribbean: Dead Man's Chest,Action,423.03,7.3
Ghostbusters,Action,128.34,5.3
Inception,Action,292.57,8.8
Captain Fantastic,Comedy,5.88,7.9
The Wolf of Wall Street,Other,116.87,8.2
Gone Girl,Crime,167.74,8.1
Furious Seven,Action,350.03,7.2
Jurassic World,Action,652.18,7.0
Live by Night,Crime,10.38,6.4
Avatar,Action,760.51,7.8
The Hateful Eight,Crime,54.12,7.8
The Accountant,Action,86.2,7.4
Prisoners,Crime,60.96,8.1
Warcraft,Action,47.17,7.0
The Help,Other,169.71,8.1
War Dogs,Comedy,43.02,7.1
Avengers: Age of Ultron,Action,458.99,7.4
The Nice Guys,Action,36.25,7.4
Kimi no na wa,Animation,4.68,8.6
The Void,Horror,0.15,5.8
Personal Shopper,Other,1.29,6.3
The Departed,Crime,132.37,8.5
Legend,Other,1.87,7.0
Thor,Action,181.02,7.0
The Martian,Adventure,228.43,8.0
Contratiempo,Crime,,7.9
The Man from U.N.C.L.E.,Action,45.43,7.3
Hell or High Water,Crime,26.86,7.7
The Comedian,Comedy,1.6600000000000001,5.4
The Legend of Tarzan,Action,126.59,6.3
All We Had,Other,,5.8
Ex Machina,Other,25.44,7.7
The Belko Experiment,Action,10.16,6.3
12 Years a Slave,Other,56.67,8.1
The Bad Batch,Other,,6.1
300,Action,210.59,7.7
Harry Potter and the Deathly Hallows: Part 2,Adventure,380.96,8.1
Office Christmas Party,Comedy,54.73,5.8
The Neon Demon,Horror,1.33,6.2
Dangal,Action,11.15,8.8
10 Cloverfield Lane,Other,71.9,7.2
Finding Dory,Animation,486.29,7.4
Miss Peregrine's Home for Peculiar Children,Adventure,87.24,6.7
Divergent,Adventure,150.83,6.7
Mike and Dave Need Wedding Dates,Adventure,46.01,6.0
Boyka: Undisputed IV,Action,,7.4
The Dark Knight Rises,Action,448.13,8.5
The Jungle Book,Adventure,364.0,7.5
Transformers: Age of Extinction,Action,245.43,5.7
Nerve,Adventure,38.56,6.6
Mamma Mia!,Comedy,143.7,6.4
The Revenant,Adventure,183.64,8.0
Fences,Other,57.64,7.3
Into the Woods,Adventure,128.0,6.0
The Shallows,Other,55.12,6.4
Whiplash,Other,13.09,8.5
Furious 6,Action,238.67,7.1
The Place Beyond the Pines,Crime,21.38,7.3
No Country for Old Men,Crime,74.27,8.1
The Great Gatsby,Other,144.81,7.3
Shutter Island,Other,127.97,8.1
Brimstone,Other,,7.1
Star Trek,Action,257.7,8.0
Diary of a Wimpy Kid,Comedy,64.0,6.2
The Big Short,Other,70.24,7.8
Room,Other,14.68,8.2
Django Unchained,Other,162.8,8.4
Ah-ga-ssi,Other,2.01,8.1
The Edge of Seventeen,Comedy,14.26,7.4
Watchmen,Action,107.5,7.6
Superbad,Comedy,121.46,7.6
Inferno,Action,34.26,6.2
The BFG,Adventure,55.47,6.4
The Hunger Games,Adventure,408.0,7.2
White Girl,Other,0.2,5.8
Sicario,Action,46.88,7.6
Twin Peaks: The Missing Pieces,Other,,8.1
Aliens vs Predator - Requiem,Action,41.8,4.7
